run,fold,accuracy,precision,recall,specificity,f1,auc,mcc
1,1,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9,0.8874119674649423
1,2,0.9411764705882353,0.9090909090909091,1.0,0.8571428571428571,0.9523809523809523,1.0,0.8827348295047495
1,3,0.8125,1.0,0.7,1.0,0.8235294117647058,0.9833333333333334,0.6831300510639732
1,4,0.75,1.0,0.6,1.0,0.75,0.8166666666666668,0.6
1,5,0.9375,0.9090909090909091,1.0,0.8333333333333334,0.9523809523809523,1.0,0.8703882797784892
1,6,0.75,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.9333333333333333,0.4879500364742666
1,7,0.875,0.8181818181818182,1.0,0.7142857142857143,0.9,1.0,0.7644707871564383
1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,9,0.875,1.0,0.7777777777777778,1.0,0.875,0.8571428571428571,0.7777777777777778
1,10,0.6875,0.75,0.6666666666666666,0.7142857142857143,0.7058823529411765,0.8412698412698413,0.3779644730092272
2,1,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9714285714285714,0.8874119674649423
2,2,0.8235294117647058,0.8888888888888888,0.8,0.8571428571428571,0.8421052631578947,0.8857142857142857,0.6479515952918626
2,3,0.875,0.9,0.9,0.8333333333333334,0.9,0.9333333333333333,0.7333333333333333
2,4,0.875,0.9,0.9,0.8333333333333334,0.9,0.9833333333333334,0.7333333333333333
2,5,0.875,0.8333333333333334,1.0,0.6666666666666666,0.9090909090909091,0.9666666666666668,0.7453559924999299
2,6,0.8125,0.8181818181818182,0.9,0.6666666666666666,0.8571428571428571,0.9166666666666666,0.5918640302493726
2,7,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9841269841269842,0.8819171036881969
2,8,0.875,1.0,0.7777777777777778,1.0,0.875,0.8888888888888888,0.7777777777777778
2,9,0.875,1.0,0.7777777777777778,1.0,0.875,0.9206349206349206,0.7777777777777778
2,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1,0.9411764705882353,0.9090909090909091,1.0,0.8571428571428571,0.9523809523809523,1.0,0.8827348295047495
3,2,0.7058823529411765,0.8571428571428571,0.6,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.45714285714285713
3,3,0.875,0.8333333333333334,1.0,0.6666666666666666,0.9090909090909091,1.0,0.7453559924999299
3,4,0.875,0.9,0.9,0.8333333333333334,0.9,0.9666666666666668,0.7333333333333333
3,5,0.8125,0.8181818181818182,0.9,0.6666666666666666,0.8571428571428571,0.9333333333333333,0.5918640302493726
3,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,7,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9841269841269842,0.746031746031746
3,8,0.6875,0.75,0.6666666666666666,0.7142857142857143,0.7058823529411765,0.7936507936507936,0.3779644730092272
3,9,0.8125,1.0,0.6666666666666666,1.0,0.8,0.9365079365079365,0.6831300510639732
3,10,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,0.8819171036881969
4,1,0.8235294117647058,1.0,0.7,1.0,0.8235294117647058,0.8857142857142857,0.7
4,2,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9,0.8874119674649423
4,3,0.875,1.0,0.8,1.0,0.8888888888888888,0.9333333333333333,0.7745966692414834
4,4,0.875,1.0,0.8,1.0,0.8888888888888888,0.9166666666666666,0.7745966692414834
4,5,0.875,0.9,0.9,0.8333333333333334,0.9,0.9666666666666668,0.7333333333333333
4,6,0.75,0.875,0.7,0.8333333333333334,0.7777777777777778,0.8666666666666667,0.5163977794943222
4,7,0.8125,1.0,0.6666666666666666,1.0,0.8,1.0,0.6831300510639732
4,8,0.9375,0.9,1.0,0.8571428571428571,0.9473684210526315,1.0,0.8783100656536799
4,9,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9206349206349206,0.746031746031746
4,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9428571428571428,0.8874119674649423
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,0.8125,1.0,0.7,1.0,0.8235294117647058,0.8833333333333333,0.6831300510639732
5,4,0.875,1.0,0.8,1.0,0.8888888888888888,0.9333333333333333,0.7745966692414834
5,5,0.9375,1.0,0.9,1.0,0.9473684210526315,1.0,0.8783100656536799
5,6,0.8125,0.8888888888888888,0.8,0.8333333333333334,0.8421052631578947,0.9333333333333333,0.6180700462007377
5,7,0.75,0.7272727272727273,0.8888888888888888,0.5714285714285714,0.8,0.9047619047619047,0.49265895172303803
5,8,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9206349206349206,0.746031746031746
5,9,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9841269841269842,0.8819171036881969
5,10,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9523809523809523,0.746031746031746
6,1,0.7647058823529411,0.8,0.8,0.7142857142857143,0.8,0.9,0.5142857142857142
6,2,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9142857142857143,0.8874119674649423
6,3,0.8125,0.8888888888888888,0.8,0.8333333333333334,0.8421052631578947,0.8,0.6180700462007377
6,4,0.9375,1.0,0.9,1.0,0.9473684210526315,0.9833333333333334,0.8783100656536799
6,5,0.9375,1.0,0.9,1.0,0.9473684210526315,0.9666666666666668,0.8783100656536799
6,6,0.8125,0.8181818181818182,0.9,0.6666666666666666,0.8571428571428571,0.8833333333333333,0.5918640302493726
6,7,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9682539682539684,0.746031746031746
6,8,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9682539682539683,0.746031746031746
6,9,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9365079365079365,0.8819171036881969
6,10,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9841269841269842,0.746031746031746
7,1,0.8823529411764706,1.0,0.8,1.0,0.8888888888888888,0.9428571428571428,0.7888106377466154
7,2,0.8823529411764706,0.8333333333333334,1.0,0.7142857142857143,0.9090909090909091,1.0,0.7715167498104596
7,3,0.75,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.9833333333333334,0.4879500364742666
7,4,0.9375,1.0,0.9,1.0,0.9473684210526315,1.0,0.8783100656536799
7,5,0.8125,0.7692307692307693,1.0,0.5,0.8695652173913043,1.0,0.6201736729460423
7,6,0.6875,0.8571428571428571,0.6,0.8333333333333334,0.7058823529411765,0.7333333333333333,0.42289003161103106
7,7,0.9375,1.0,0.8888888888888888,1.0,0.9411764705882353,0.9365079365079365,0.8819171036881969
7,8,0.875,0.8181818181818182,1.0,0.7142857142857143,0.9,0.9523809523809523,0.7644707871564383
7,9,0.875,1.0,0.7777777777777778,1.0,0.875,1.0,0.7777777777777778
7,10,0.8125,0.875,0.7777777777777778,0.8571428571428571,0.8235294117647058,0.888888888888889,0.629940788348712
8,1,0.9411764705882353,0.9090909090909091,1.0,0.8571428571428571,0.9523809523809523,0.9857142857142858,0.8827348295047495
8,2,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9714285714285714,0.8874119674649423
8,3,0.875,0.9,0.9,0.8333333333333334,0.9,0.9833333333333334,0.7333333333333333
8,4,0.875,0.9,0.9,0.8333333333333334,0.9,0.9833333333333334,0.7333333333333333
8,5,0.8125,0.8181818181818182,0.9,0.6666666666666666,0.8571428571428571,0.95,0.5918640302493726
