fold,accuracy,precision,recall,specificity,f1,auc,mcc
1,0.8235294117647058,0.8888888888888888,0.8,0.8571428571428571,0.8421052631578947,0.8428571428571429,0.6479515952918626
2,0.9411764705882353,1.0,0.9,1.0,0.9473684210526315,0.9142857142857143,0.8874119674649423
3,0.75,0.875,0.7,0.8333333333333334,0.7777777777777778,0.8833333333333334,0.5163977794943222
4,0.9375,1.0,0.9,1.0,0.9473684210526315,1.0,0.8783100656536799
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.8125,1.0,0.7,1.0,0.8235294117647058,0.8333333333333335,0.6831300510639732
7,0.875,0.8181818181818182,1.0,0.7142857142857143,0.9,0.9682539682539683,0.7644707871564383
8,0.75,1.0,0.5555555555555556,1.0,0.7142857142857143,0.7936507936507937,0.5945883900105632
9,0.75,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.75,0.7777777777777778,0.5238095238095238
10,0.875,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.8888888888888888,0.746031746031746
